datetime,mainclass,subclass,sfilepath,analyst,wavfile1,wavfile2,numarrivals,nummagnitudes,numaefrows,duration
1998-06-01 10:22:46,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/01-1022-46L.S199806,eed,WAV/MVOE_/1998/06/9806-01-1022-46S.MVO_13_1,-,19,0, 0, 35.0
1998-06-01 12:21:23,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/01-1221-23L.S199806,eed,WAV/MVOE_/1998/06/9806-01-1221-23S.MVO_13_1,-,14,0, 0, 39.0
1998-06-01 13:33:27,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/01-1333-27L.S199806,lo ,WAV/MVOE_/1998/06/9806-01-1333-27S.MVO_13_1,-, 0,0, 0, 33.0
1998-06-02 00:08:56,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-0008-56L.S199806,eed,WAV/MVOE_/1998/06/9806-02-0008-56S.MVO_13_1,-,19,0, 0, 55.0
1998-06-02 14:39:25,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-1439-25L.S199806,lo ,WAV/MVOE_/1998/06/9806-02-1439-25S.MVO_13_1,-, 0,0, 0, 23.0
1998-06-02 16:53:34,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-1653-34L.S199806,lo ,WAV/MVOE_/1998/06/9806-02-1653-34S.MVO_13_1,-, 0,0, 0, 41.0
1998-06-02 17:28:03,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-1728-03L.S199806,lo ,WAV/MVOE_/1998/06/9806-02-1728-03S.MVO_13_1,-, 0,0, 0, 28.0
1998-06-02 17:45:32,D,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-1745-32D.S199806,lo ,WAV/MVOE_/1998/06/9806-02-1745-32S.MVO_13_1,-, 0,0, 0, 75.0
1998-06-02 18:03:55,D,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-1803-55D.S199806,lo ,WAV/MVOE_/1998/06/9806-02-1803-55S.MVO_13_1,-, 0,0, 0, 24.0
1998-06-02 19:55:03,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-1955-03L.S199806,lo ,WAV/MVOE_/1998/06/9806-02-1955-03S.MVO_13_1,-, 0,0, 0, 49.0
1998-06-02 22:15:18,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/02-2215-18L.S199806,lo ,WAV/MVOE_/1998/06/9806-02-2215-18S.MVO_13_1,-, 0,0, 0, 22.0
1998-06-03 02:49:00,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-0249-00L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-0249-00S.MVO_13_1,-, 0,0, 0, 47.0
1998-06-03 02:55:55,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-0255-55L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-0255-55S.MVO_13_1,-, 0,0, 0, 33.0
1998-06-03 04:49:44,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-0449-44L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-0449-44S.MVO_13_1,-, 0,0, 0, 24.0
1998-06-03 06:13:08,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-0613-08L.S199806,eed,WAV/MVOE_/1998/06/9806-03-0613-08S.MVO_13_1,-,23,0, 0, 40.0
1998-06-03 08:58:33,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-0858-33L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-0858-33S.MVO_13_1,-, 0,0, 0,121.0
1998-06-03 11:29:08,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-1129-08L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-1129-08S.MVO_13_1,-, 0,0, 0, 41.0
1998-06-03 13:15:59,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-1315-59L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-1315-59S.MVO_13_1,-, 0,0, 0, 23.0
1998-06-03 19:05:52,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-1905-52L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-1905-52S.MVO_13_1,-, 0,0, 0, 31.0
1998-06-03 23:57:00,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/03-2357-00L.S199806,lo ,WAV/MVOE_/1998/06/9806-03-2357-00S.MVO_13_1,-, 0,0, 0, 25.0
1998-06-04 00:04:56,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-0004-56L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-0004-56S.MVO_13_1,-, 0,0, 0, 54.0
1998-06-04 04:58:17,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-0458-17L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-0458-17S.MVO_13_1,-, 0,0, 0, 52.0
1998-06-04 05:00:21,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-0500-21L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-0500-21S.MVO_13_1,-, 0,0, 0, 21.0
1998-06-04 05:38:11,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-0538-11L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-0538-11S.MVO_13_1,-, 0,0, 0, 23.0
1998-06-04 09:38:16,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-0938-16L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-0938-16S.MVO_13_1,-, 0,0, 0, 29.0
1998-06-04 09:49:39,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-0949-39L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-0949-39S.MVO_13_1,-, 0,0, 0, 41.0
1998-06-04 11:46:18,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1146-18L.S199806,eed,WAV/MVOE_/1998/06/9806-04-1146-18S.MVO_13_1,-,16,0, 0, 53.0
1998-06-04 14:13:41,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1413-41R.S199806,lo ,WAV/MVOE_/1998/06/9806-04-1413-41S.MVO_13_1,-, 0,0, 0, 76.0
1998-06-04 16:39:02,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1639-02L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-1639-02S.MVO_13_1,-, 0,0, 0, 25.0
1998-06-04 16:48:37,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1648-37L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-1648-37S.MVO_13_1,-, 0,0, 0, 30.0
1998-06-04 17:51:44,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1751-44L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-1751-44S.MVO_13_1,-, 0,0, 0, 25.0
1998-06-04 18:31:48,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1831-48L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-1831-48S.MVO_13_1,-, 0,0, 0, 64.0
1998-06-04 19:49:14,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-1949-14L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-1949-14S.MVO_13_1,-, 0,0, 0, 28.0
1998-06-04 22:10:00,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-2210-00L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-2210-00S.MVO_13_1,-, 0,0, 0, 34.0
1998-06-04 22:15:06,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-2215-06L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-2215-06S.MVO_13_1,-, 0,0, 0, 31.0
1998-06-04 22:38:46,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-2238-46L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-2238-46S.MVO_13_1,-, 0,0, 0, 27.0
1998-06-04 23:08:27,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/06/04-2308-27L.S199806,lo ,WAV/MVOE_/1998/06/9806-04-2308-27S.MVO_13_1,-, 0,0, 0, 58.0
