datetime,mainclass,subclass,sfilepath,analyst,wavfile1,wavfile2,numarrivals,nummagnitudes,numaefrows,duration
2003-11-01 00:19:23,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-0019-23L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-0019-23S.SPN___009,-, 0,0, 0,  0.0
2003-11-01 02:32:12,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-0232-12L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-0232-12S.MVO___017,WAV/MVOE_/2003/11/2003-11-01-0232-18S.SPN___009, 0,0, 0,  0.0
2003-11-01 03:55:19,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-0355-19L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-0355-19S.SPN___009,WAV/MVOE_/2003/11/2003-11-01-0355-25S.MVO___017, 0,0, 0,  0.0
2003-11-01 03:55:19,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-0355-19R.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-0355-19S.SPN___009,WAV/MVOE_/2003/11/2003-11-01-0355-25S.MVO___017, 0,0, 0,  0.0
2003-11-01 16:55:29,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-1655-29L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-1655-29S.MVO___017,-, 0,0, 0,  0.0
2003-11-01 18:54:39,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-1854-39L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-1854-39S.MVO___017,WAV/MVOE_/2003/11/2003-11-01-1854-48S.SPN___009, 0,0, 0,  0.0
2003-11-01 18:54:39,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-1854-39R.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-1854-39S.MVO___017,WAV/MVOE_/2003/11/2003-11-01-1854-48S.SPN___009, 0,0, 0,  0.0
2003-11-01 19:12:59,LV,n,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-1912-59L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-1912-59S.SPN___009,-, 0,0, 0,  0.0
2003-11-01 20:18:40,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-2018-40L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-2018-40S.MVO___017,-, 0,0, 0,  0.0
2003-11-01 20:45:31,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-2045-31L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-2045-31S.MVO___017,WAV/MVOE_/2003/11/2003-11-01-2045-35S.SPN___009, 0,0, 0,  0.0
2003-11-01 21:32:27,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-2132-27L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-2132-27S.MVO___017,WAV/MVOE_/2003/11/2003-11-01-2132-35S.SPN___009, 0,0, 0,  0.0
2003-11-01 21:36:40,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2003/11/01-2136-40L.S200311,vab,WAV/MVOE_/2003/11/2003-11-01-2136-40S.SPN___009,-, 0,0, 0,  0.0
