datetime,mainclass,subclass,sfilepath,analyst,wavfile1,wavfile2,numarrivals,nummagnitudes,numaefrows,duration
2007-07-01 04:33:16,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/01-0433-16R.S200707,bjb,WAV/MVOE_/2007/07/2007-07-01-0433-16S.MVO___028,-,12,0, 0,  0.0
2007-07-01 19:27:29,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/01-1927-29L.S200707,vab,WAV/MVOE_/2007/07/2007-07-01-1927-29S.MVO___028,-, 0,0, 0, 43.0
2007-07-01 21:05:31,LV,e,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/01-2105-31L.S200707,vab,WAV/MVOE_/2007/07/2007-07-01-2105-31S.MVO___028,-, 0,0, 0, 85.0
2007-07-02 00:29:35,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/02-0029-35L.S200707,vab,WAV/MVOE_/2007/07/2007-07-02-0029-35S.MVO___028,-,12,0, 0, 48.0
2007-07-02 02:34:46,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/02-0234-46L.S200707,vab,WAV/MVOE_/2007/07/2007-07-02-0234-46S.MVO___028,-, 0,0, 0, 56.0
2007-07-02 22:05:16,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/02-2205-16R.S200707,vab,WAV/MVOE_/2007/07/2007-07-02-2205-16S.MVO___028,-,17,0, 0,  0.0
2007-07-03 05:10:46,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/03-0510-46R.S200707,vab,WAV/MVOE_/2007/07/2007-07-03-0510-46S.MVO___028,-,15,0, 0,  0.0
2007-07-03 08:32:44,D,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/03-0832-44D.S200707,vab,WAV/MVOE_/2007/07/2007-07-03-0832-44S.MVO___028,-, 0,0, 0,  0.0
2007-07-03 14:33:44,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/03-1433-44L.S200707,vab,WAV/MVOE_/2007/07/2007-07-03-1433-44S.MVO___028,-, 0,0, 0, 58.0
2007-07-03 17:12:05,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/03-1712-05R.S200707,vab,WAV/MVOE_/2007/07/2007-07-03-1712-05S.MVO___028,-, 0,0, 0,  0.0
2007-07-03 19:39:09,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/03-1939-09L.S200707,vab,WAV/MVOE_/2007/07/2007-07-03-1939-09S.MVO___028,-, 0,0, 0, 43.0
2007-07-04 04:48:52,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/04-0448-52L.S200707,vab,WAV/MVOE_/2007/07/2007-07-04-0448-52S.MVO___028,-, 0,0, 0, 74.0
2007-07-04 11:31:29,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/04-1131-29L.S200707,vab,WAV/MVOE_/2007/07/2007-07-04-1131-29S.MVO___028,-, 0,0, 0, 34.0
2007-07-04 14:24:59,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/04-1424-59L.S200707,vab,WAV/MVOE_/2007/07/2007-07-04-1424-59S.MVO___028,-, 0,0, 0, 60.0
2007-07-05 04:17:01,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/05-0417-01L.S200707,vab,WAV/MVOE_/2007/07/2007-07-05-0417-01S.MVO___028,-, 0,0, 0, 57.0
2007-07-05 07:05:04,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/05-0705-04R.S200707,bjb,WAV/MVOE_/2007/07/2007-07-05-0705-04S.MVO___028,-,11,0, 0,  0.0
2007-07-05 18:05:56,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/2007/07/05-1805-56L.S200707,vab,WAV/MVOE_/2007/07/2007-07-05-1805-56S.MVO___028,-, 0,0, 0, 63.0
