datetime,mainclass,subclass,sfilepath,analyst,wavfile1,wavfile2,numarrivals,nummagnitudes,numaefrows,duration
1998-03-24 14:20:13,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-1420-13L.S199803,lo ,WAV/MVOE_/1998/03/9803-24-1420-13S.MVO_18_1,-, 0,0, 0, 46.0
1998-03-24 16:00:31,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-1600-31R.S199803,lo ,WAV/MVOE_/1998/03/9803-24-1600-31S.MVO_18_1,-, 0,1, 0, 88.0
1998-03-24 16:11:42,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-1611-42L.S199803,lo ,WAV/MVOE_/1998/03/9803-24-1611-42S.MVO_18_1,-, 0,0, 0, 25.0
1998-03-24 17:05:01,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-1705-01L.S199803,lo ,WAV/MVOE_/1998/03/9803-24-1705-01S.MVO_18_1,-, 0,0, 0, 47.0
1998-03-24 20:21:34,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-2021-34L.S199803,lo ,WAV/MVOE_/1998/03/9803-24-2021-34S.MVO_18_1,-, 0,0, 0, 26.0
1998-03-24 20:29:16,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-2029-16L.S199803,lo ,WAV/MVOE_/1998/03/9803-24-2029-16S.MVO_18_1,-, 0,0, 0, 25.0
1998-03-24 20:42:17,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/24-2042-17L.S199803,lo ,WAV/MVOE_/1998/03/9803-24-2042-17S.MVO_18_1,-, 0,0, 0, 42.0
1998-03-25 00:12:54,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/25-0012-54L.S199803,lo ,WAV/MVOE_/1998/03/9803-25-0012-54S.MVO_18_1,-, 0,0, 0, 66.0
1998-03-25 01:36:01,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/25-0136-01L.S199803,lo ,WAV/MVOE_/1998/03/9803-25-0136-01S.MVO_18_1,-, 0,0, 0, 24.0
1998-03-25 10:30:00,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/25-1030-00L.S199803,lo ,WAV/MVOE_/1998/03/9803-25-1030-00S.MVO_18_1,-, 0,0, 0, 38.0
1998-03-25 12:04:10,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/25-1204-10L.S199803,lo ,WAV/MVOE_/1998/03/9803-25-1204-10S.MVO_18_1,-, 0,0, 0, 43.0
1998-03-25 16:51:09,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/25-1651-09L.S199803,lo ,WAV/MVOE_/1998/03/9803-25-1651-09S.MVO_18_1,-, 0,0, 0, 26.0
1998-03-26 01:38:57,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-0138-57L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-0138-57S.MVO_18_1,-, 0,0, 0,120.0
1998-03-26 02:08:09,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-0208-09R.S199803,lo ,WAV/MVOE_/1998/03/9803-26-0208-09S.MVO_18_1,-, 0,1, 0, 88.0
1998-03-26 02:11:10,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-0211-10L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-0211-10S.MVO_18_1,-, 0,0, 0, 28.0
1998-03-26 02:42:39,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-0242-39L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-0242-39S.MVO_18_1,-, 0,0, 0, 42.0
1998-03-26 04:51:26,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-0451-26L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-0451-26S.MVO_18_1,-, 0,0, 0, 21.0
1998-03-26 09:34:45,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-0934-45L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-0934-45S.MVO_18_1,-, 0,0, 0, 40.0
1998-03-26 12:51:10,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-1251-10L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-1251-10S.MVO_18_1,-, 0,0, 0, 30.0
1998-03-26 15:14:23,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-1514-23L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-1514-23S.MVO_18_1,-, 0,0, 0,121.0
1998-03-26 15:41:56,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-1541-56L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-1541-56S.MVO_18_1,-, 0,0, 0, 55.0
1998-03-26 15:54:20,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-1554-20L.S199803,lo ,WAV/MVOE_/1998/03/9803-26-1554-20S.MVO_18_1,-, 0,0, 0, 38.0
1998-03-26 17:32:08,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/26-1732-08R.S199803,lo ,WAV/MVOE_/1998/03/9803-26-1732-08S.MVO_18_1,-, 0,0, 0, 50.0
1998-03-27 02:49:20,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/27-0249-20L.S199803,lo ,WAV/MVOE_/1998/03/9803-27-0249-20S.MVO_18_1,-, 0,0, 0,121.0
1998-03-27 15:39:28,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/27-1539-28L.S199803,lo ,WAV/MVOE_/1998/03/9803-27-1539-28S.MVO_18_1,-, 0,0, 0, 74.0
1998-03-27 20:27:23,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/27-2027-23L.S199803,lo ,WAV/MVOE_/1998/03/9803-27-2027-23S.MVO_18_1,-, 0,0, 0, 31.0
1998-03-28 14:30:19,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/28-1430-19L.S199803,lo ,WAV/MVOE_/1998/03/9803-28-1430-19S.MVO_18_1,-, 0,0, 0, 35.0
1998-03-28 14:47:24,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/28-1447-24L.S199803,lo ,WAV/MVOE_/1998/03/9803-28-1447-24S.MVO_18_1,-, 0,0, 0, 43.0
1998-03-28 16:39:56,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/28-1639-56L.S199803,lo ,WAV/MVOE_/1998/03/9803-28-1639-56S.MVO_18_1,-, 0,0, 0,121.0
1998-03-28 16:56:05,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/28-1656-05L.S199803,lo ,WAV/MVOE_/1998/03/9803-28-1656-05S.MVO_18_1,-, 0,0, 0, 46.0
1998-03-28 17:03:12,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/28-1703-12L.S199803,lo ,WAV/MVOE_/1998/03/9803-28-1703-12S.MVO_18_1,-, 0,0, 0, 32.0
1998-03-29 03:54:28,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-0354-28R.S199803,lo ,WAV/MVOE_/1998/03/9803-29-0354-28S.MVO_18_1,-, 0,0, 0, 87.0
1998-03-29 07:17:00,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-0717-00L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-0717-00S.MVO_18_1,-, 0,0, 0,114.0
1998-03-29 07:21:05,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-0721-05L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-0721-05S.MVO_18_1,-, 0,0, 0, 85.0
1998-03-29 08:14:14,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-0814-14L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-0814-14S.MVO_18_1,-, 0,0, 0, 60.0
1998-03-29 10:51:02,LV,h,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-1051-02L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-1051-02S.MVO_18_1,-, 0,0, 0, 47.0
1998-03-29 20:05:55,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-2005-55L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-2005-55S.MVO_18_1,-, 0,0, 0, 37.0
1998-03-29 20:08:44,LV,l,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-2008-44L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-2008-44S.MVO_18_1,-, 0,0, 0, 21.0
1998-03-29 20:13:26,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/29-2013-26L.S199803,lo ,WAV/MVOE_/1998/03/9803-29-2013-26S.MVO_18_1,-, 0,0, 0, 76.0
1998-03-30 01:01:54,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-0101-54L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-0101-54S.MVO_18_1,-, 0,0, 0, 69.0
1998-03-30 06:08:28,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-0608-28L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-0608-28S.MVO_18_1,-, 0,0, 0, 39.0
1998-03-30 07:35:38,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-0735-38L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-0735-38S.MVO_18_1,-, 0,0, 0, 86.0
1998-03-30 07:46:17,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-0746-17R.S199803,lo ,WAV/MVOE_/1998/03/9803-30-0746-17S.MVO_18_1,-, 0,0, 0, 56.0
1998-03-30 08:44:01,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-0844-01L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-0844-01S.MVO_18_1,-, 0,0, 0, 23.0
