datetime, mainclass, subclass, duration, wavfilepath, sampling_rate, npts, traceNum, traceID, sfilepath
2005-06-01 08:05:42,R,_,  80.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-0805-42S.MVO___026,100,  8000,24,.MBWH.N.BH,./seismo/REA/MVOE_/2005/06/01-0805-42R.S200506
2005-06-01 08:05:42,R,_,  80.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-0805-42S.MVO___026,100,  8000,25,.MBWH.E.BH,./seismo/REA/MVOE_/2005/06/01-0805-42R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,00,.MBBY..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,01,.MBBY..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,02,.MBBY..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,03,.MBGB..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,04,.MBGB..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,05,.MBGB..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,06,.MBGH..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,07,.MBGH..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,08,.MBGH..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,09,.MBHA..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,10,.MBHA..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,11,.MBHA..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,12,.MBLG..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,13,.MBLG..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,14,.MBLG..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,15,.MBLY..PR1,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,16,.MBLY..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,17,.MBLY..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,18,.MBLY..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,19,.MBRV..SHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,20,.MBRY..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,21,.MBRY..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,22,.MBRY..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,23,.MBWH..BHZ,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,24,.MBWH..BHN,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 12:25:14,R,_, 211.860,./seismo/WAV/MVOE_/2005/06/2005-06-01-1225-14S.MVO___026,100, 21186,25,.MBWH..BHE,./seismo/REA/MVOE_/2005/06/01-1225-14R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,00,.MBBY.Z.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,01,.MBBY.N.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,02,.MBBY.E.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,03,.MBGB.Z.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,04,.MBGB.N.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,05,.MBGB.E.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
2005-06-01 22:13:36,R,_,  65.000,./seismo/WAV/MVOE_/2005/06/2005-06-01-2213-36S.MVO___026,100,  6500,06,.MBGH.Z.BH,./seismo/REA/MVOE_/2005/06/01-2213-36R.S200506
